utt_id,f0_log_mean_norm,f0_log_range_norm,mfcc_0_vowel_var,speaking_rate,jitterLocal_sma3nz_mean,jitterLocal_sma3nz_var,shimmerLocaldB_sma3nz_mean,shimmerLocaldB_sma3nz_var,HNRdBACF_sma3nz_mean,HNRdBACF_sma3nz_var,logRelF0-H1-H2_sma3nz_mean,logRelF0-H1-H2_sma3nz_var,voicing_to_frames_ratio,articulation_rate,a_F2_mean_norm,a_F3_mean_norm
32053,-0.0157930785189117,0.0224278728404455,1384.181660562239,13.919768003866604,0.02407523,0.0067914202809333,0.8019692,0.7248069047927856,3.6509895,11.472447395324709,9.941252,675.0765991210938,0.9017857142857144,15.92920353982301,528.1143157984716,689.9866972651093
32056,-0.0545555280491321,0.0801901378871078,1690.311534004998,10.648077489609252,0.014840984,0.000351369351847,0.77373904,0.9253694415092468,3.3171413,10.0896635055542,7.1090083,88.56158447265625,0.8,14.18918918918919,633.8286015127574,648.5759829793951
32059,0.0083567740664438,0.1495048559431023,1654.6148035699573,12.935667230955536,0.018601472,0.0013393613044172,0.7244257,0.920998990535736,2.9188778,9.669818878173828,3.5107074,159.58798217773438,0.8877887788778878,15.635738831615122,600.4179954521514,398.196942575355
32064,0.0015555253790706,0.1090712704104389,2964.7097294284854,12.625611955681524,0.012549725,0.0007402917253784,0.80413455,1.0870972871780396,4.241906,9.576704978942873,2.4733055,103.0200424194336,0.9281437125748504,14.121037463976943,632.0857367386425,549.1251823910948
32065,-0.015260198915918,0.1610573089524346,1798.8423947254707,9.093628477415496,0.019876324,0.001861028606072,0.7603238,0.9529727101325988,3.409016,10.169516563415527,8.816701,623.5538940429688,0.9444444444444444,11.411411411411413,512.5593707435266,499.5855983640104
32071,-0.009356175301578,0.2072671209897646,787.8749739932134,8.775366293191258,0.014798663,0.0001802753977244,0.62448645,0.3391017615795135,5.2594833,11.180066108703612,5.8027782,211.12738037109375,0.9710144927536232,11.200000000000005,,
32074,-0.2093650462052041,-0.0699917512342135,241.334654810368,8.866718152743408,0.009792054,0.0002166252670576,0.47094303,0.3342471718788147,2.7186584,8.022523880004883,8.523045,120.31797790527344,0.9387755102040816,14.084507042253522,,
32083,0.1370715584659629,0.3978825956437494,5587.992486007386,12.324758737245554,0.018578371,0.002306681824848,0.6869726,0.9760502576828004,4.6034136,15.27151107788086,7.6633253,275.2250061035156,0.9739583333333334,14.511873350923482,831.1857443699,514.053363931776
32084,0.0090130207894363,0.1321761764291035,2500.091021866857,10.34824429100298,0.012962897,0.0003191581345163,0.78612834,0.9018077850341796,4.6291385,10.209532737731934,6.1044054,77.43954467773438,0.9701492537313432,13.114754098360656,407.94764913180506,193.32003059844283
32085,-0.0021764411931384,0.1495048559431023,1235.3303732606776,11.324398725902192,0.01412013,0.0002196821878897,0.750332,0.8456560969352722,3.732364,9.783303260803224,0.6254477,46.6006965637207,0.9365079365079364,13.095238095238097,747.3286015127574,352.86764964606164
32103,0.0222331740665282,0.2072671209897646,2439.586888264079,11.54797910365686,0.018105472,0.0005285531515255,0.75409573,0.8392484784126282,4.816573,11.131550788879396,6.1866765,57.797706604003906,0.9493670886075948,14.685314685314683,472.4378607720169,232.93709409050643
32115,-0.0142068870238931,0.1263999499244378,4345.91758281355,9.690362631539102,0.008984249,0.0001642821298446,0.7257615,0.9564300775527954,3.979132,12.222880363464355,2.1445372,20.17910385131836,0.9444444444444444,13.79310344827586,,
32146,-0.058593425884065,0.1148474969151055,1620.5101207581213,9.179155826083637,0.015010228,0.0003446426999289,0.67763966,0.9710847735404968,3.7329051,9.452295303344728,9.315192,127.98841094970705,0.9491525423728814,12.5,502.111008920165,418.8722792756912
32155,-0.0324227647265145,0.0801901378871078,1398.6221732456856,11.922707256620283,0.014675563,0.0006429291097447,0.7189097,0.8842983841896057,4.73976,12.047881126403809,9.519109,304.0632629394531,0.9622641509433962,15.068493150684931,584.9841570683129,612.5898718682843
32160,0.0925517604529861,0.3112391980737569,3145.369032775734,13.62982110859795,0.013505458,0.0003291287866886,0.7238441,0.9213064312934875,4.7755427,12.6561918258667,2.8303773,51.090797424316406,0.9456521739130436,15.71815718157182,591.1073511944483,459.2242195467493
32161,-0.0087671503744299,0.0282040993451121,1235.1002846107715,11.71203217921697,0.028198471,0.0108525808900594,0.8518791,0.8575443625450134,5.055515,8.859582901000977,4.238912,84.07466888427734,0.981012658227848,13.39563862928349,945.1301888143448,949.4866972651092
32172,-0.0086140634329767,0.0975188174011066,999.2521626731516,8.662456712704293,0.02012388,0.0008633055258542,0.8157295,0.4426372647285461,4.5465546,8.553608894348145,3.76857,49.39575958251953,0.9072164948453608,9.535452322738386,496.8406385497945,511.48524223865434
32174,-0.0628070673051546,0.1437286294384366,2750.060298123903,12.028524787352866,0.014506517,0.0002959966950584,0.7931465,1.0822683572769165,3.7359128,10.65333652496338,4.0586324,227.65626525878903,0.9047619047619048,16.279069767441857,27.606379290535187,-72.07679479838225
32182,-0.0536580708620251,0.1899384414757666,1622.724024441072,11.576542269611576,0.012326954,0.0003233967581763,0.65135586,0.8198643326759338,3.3244095,13.867484092712402,10.40156,726.5565795898438,0.971830985915493,17.431192660550458,820.2730459572022,798.7657977942104
32188,-0.0667924189860809,0.0975188174011066,1824.6942765273757,11.06766917293233,0.016911846,0.0003263601684011,0.7552554,0.6118997931480408,4.021822,9.154703140258787,8.3708725,70.93743133544922,0.9720670391061452,14.11042944785276,746.006163320089,637.4913495608107
32189,-0.036401942985285,0.1148474969151055,2243.8125952020687,11.777697813408412,0.0129561545,0.0003451723896432,0.7239029,1.1069564819335938,3.0079296,10.9459228515625,6.4026155,271.1669616699219,0.9712230215827338,15.637860082304526,400.75808869224466,289.9125214409337
32192,-0.0109042018359666,0.0917425908964409,3108.9470475943203,9.69063415509911,0.013114918,0.0002914753858931,0.71195436,0.7469727396965027,4.0423265,11.150120735168455,8.9144,791.9624633789062,0.940828402366864,12.258064516129032,409.6730459572016,156.0898718682838
32197,0.0890964779803988,0.2534769330270946,1377.8709006270274,11.86811556577532,0.016076453,0.0008324237423948,0.71117765,0.6685556173324585,5.5668874,17.738187789916992,10.535544,203.0098876953125,0.9724137931034482,15.50387596899225,477.7452681794239,282.8676496460621
32201,-0.1969121634013984,0.0397565523544444,1805.8799284195288,9.289421207129324,0.013746376,0.0004217764944769,0.533835,0.5783061385154724,1.9110553,9.065631866455078,1.1570042,168.18295288085938,0.9761904761904762,13.23529411764706,403.2754879596439,343.3310196094317
32203,-0.000496482060063,0.1032950439057732,1552.8864328276936,11.648165497135384,0.029000772,0.0053168637678027,0.85379344,1.01872456073761,3.2079918,9.292617797851562,6.689454,726.0911865234375,0.903846153846154,13.79310344827586,626.6397126238685,659.0884829793949
32216,0.1681603026033213,0.4614210871950782,2874.1411550900534,8.914476738787261,0.016224971,0.0006021129083819,0.90559155,1.0886949300765991,4.6614757,13.460050582885742,4.57894,32.28673553466797,0.8448275862068966,11.881188118811885,,
32220,-0.1401654341121645,-0.0122294861875512,2003.1149259184624,11.890232768292485,0.015910666,0.0004881276399828,0.5661335,0.7534676194190979,2.8180234,8.538727760314941,4.783933,31.981088638305664,0.9411764705882352,18.18181818181818,268.8580132774632,223.02451239116
32229,0.0323993327147391,0.1726097619617678,1938.6553333151803,13.8401509568767,0.01513941,0.0002537660766392,0.78931963,0.7711842060089111,4.8750277,9.920161247253418,7.0157437,78.7182846069336,0.9636363636363636,15.497076023391813,574.602411036567,461.12260996352234
32236,0.0283680079666908,0.1552810824477689,2350.599906362557,11.867427098083036,0.016981238,0.0006867922493256,0.8173852,0.6337846517562866,4.1717477,7.981219291687012,5.5622134,309.7054748535156,0.927536231884058,13.133640552995391,583.4273669448562,491.3460447077905
32237,-0.0845631609388188,0.0686376848777755,2027.047192392459,13.019563021802384,0.014650785,0.00045936301467,0.8279273,0.8773109316825867,3.0681043,8.589773178100586,5.0081973,402.6853637695313,0.9556451612903226,16.44736842105263,703.6806217147778,563.2585587369704
32270,-0.2473439380058701,-0.0526630717202146,3271.2026310470974,10.821317725386066,0.0074641895,0.0003046956844627,0.38906258,0.7961779832839966,1.2305598,5.523860931396484,2.435191,17.811138153076172,0.96875,28.07017543859649,115.82860151275736,81.36764964606164
32272,-0.0067964899954962,0.1090712704104389,7198.502063752173,8.369208266460141,0.004715955,9.299664088757709e-05,0.26837596,0.2421852052211761,2.4828517,10.294652938842772,2.8488724,15.926082611083984,0.6268656716417911,11.016949152542372,59.2452681794241,258.61764964606164
32276,-0.1923010821244366,-0.0353343922062158,3721.812235159267,8.857827440663629,0.0063652755,0.0001334262924501,0.46456262,0.583936870098114,1.8012309,5.366936683654785,3.9827478,26.642011642456055,0.9487179487179488,13.445378151260504,182.2881253222813,257.06050678891916
32296,-0.0061228980621228,0.0859663643917744,6279.504990097192,13.195997214178366,0.01173102,0.0003927919606212,0.6137461,0.7135281562805176,2.7433152,7.727847099304199,2.8211422,14.44775104522705,0.9319727891156464,14.900662251655628,122.01818484609088,19.85237186828408
32297,0.1207699352689699,-0.3472506234581908,8627.307974863985,11.829754404011831,0.0059640817,0.0001026635218295,0.38764143,0.3753666281700134,3.51397,12.452319145202637,4.497328,32.49772644042969,0.8095238095238095,14.375000000000002,-174.5811207094648,66.6107052016173
